lat,lon,District,TEHSIL,elevation,slope,aspect,roughness,dist_to_road,dist_to_building,dist_to_river,building_density,landuse_type,ndvi,rainfall_7day,rainfall_15day,label,Exposure
32.0615476916,76.0984,KANGRA,JAWALI,487,12.880515,315.0,20.0,10.839108056880917,696.934921518604,629.261899547428,2,nature_reserve,0.1590503,35.083,76.743,1,At Risk
32.4832724073,77.1136,LAHUL & SPITI,LAHUL,3083,14.852997,232.43143,21.0,11.08957609770121,0.1851670505779117,196.90062755469373,74,farmland,0.09772423,28.355,61.923,1,At Risk
31.5154320733,78.1549,KINNAUR,NICHAR,1794,28.68503,214.1597,53.0,13.895447879618914,0.0,78.3797823526813,200,forest,0.19584495,27.205,59.479,1,At Risk
31.0746317535,76.9256,SOLAN,ARKI,731,12.403612,252.89728,17.0,38.54934955195504,6.337999747590837,56.83910175219326,125,forest,0.63860476,32.197,70.464,1,At Risk
31.4516101293,77.6349,SHIMLA,RAMPUR,1029,32.16799,342.03085,52.0,63.54382998267222,383.0817611052938,134.0345806142877,7,residential,0.41366005,23.856,52.159,1,At Risk
30.903541418,77.0914,SOLAN,SOLAN,1476,27.232187,43.726967,36.0,7.017220590465712,441.9473788628087,331.4337089926513,14,forest,0.19515796,32.197,70.464,1,At Risk
31.4968680342,77.7007,KULLU,NERMAND,1065,34.450825,171.86989,59.0,15.772083835067402,192.02616532878037,93.69789995889597,8,forest,0.33098114,23.856,52.159,1,At Risk
31.2429447958,76.9107,SOLAN,ARKI,973,14.613225,60.25511,28.0,7.64702321835011,201.31214175527393,75.75150653599974,3,forest,0.20425658,32.704,71.527,1,At Risk
30.9567370299,77.1569,SOLAN,KANDAGHAT,1523,29.991123,191.30994,42.0,72.49881959166974,1520.1898098323888,1637.9395497747203,0,nature_reserve,0.5645314,28.054,61.396,1,At Risk
30.8302541927,77.1649,SIRMAUR,PACHHAD,1093,18.971455,221.18593,39.0,38.031881164841565,2135.291459413887,167.79429721315577,0,forest,0.52546585,28.054,61.396,1,At Risk
30.9701245884,76.9631,SOLAN,KRISHANGARH,1091,19.693779,18.434948,28.0,9.824304983424344,427.75129142091293,1335.5711197211904,1,forest,0.28023598,32.197,70.464,1,At Risk
31.70093154,76.7365,MANDI,SARKAGHAT,961,11.165251,235.00798,18.0,3.2524893105461574,70.65673927654035,1358.406903147659,3,forest,0.15754813,31.966,69.861,1,At Risk
31.71042306,76.7362,MANDI,SARKAGHAT,975,21.688684,243.43497,35.0,14.43833471310084,817.0052962149314,905.0595180948842,3,forest,0.15515475,31.966,69.861,1,At Risk
30.6223591593,77.2866,SIRMAUR,NAHAN,1303,23.527336,328.67133,35.0,52.20719737140606,6011.936797088312,1277.1258803403557,0,forest,0.4386541,32.082,70.255,1,At Risk
31.0905854608,77.2863,SHIMLA,THEOG,2555,14.931911,14.0362425,21.0,7.529161933059243,1082.98718569023,1483.8226533949014,0,forest,0.009770661,28.054,61.396,1,At Risk
31.0995850185,77.2104,SHIMLA,SHIMLA,2176,35.54187,84.805565,57.0,0.11288507613016875,66.15730569947699,1003.8684503666595,1354,forest,0.1802064,28.054,61.396,1,At Risk
31.0831197968,77.1744,SHIMLA,SHIMLA,1946,33.690983,140.90614,56.0,46.11098679106292,10.425431336491696,394.9770627891934,911,forest,0.06325823,28.054,61.396,1,At Risk
31.9051180879,77.1398,KULLU,BHUNTAR,1146,17.277182,188.97263,27.0,60.73833937343011,1450.8741690300403,336.332488480237,0,forest,0.6965801,21.894,47.828,1,At Risk
31.52735382,76.8499,MANDI,SUNDAR NAGAR,1016,26.223751,156.80139,36.0,20.392935918371343,2967.582852426481,1708.5849179203633,0,forest,0.4092892,32.704,71.527,1,At Risk
30.6044302372,77.6737,SIRMAUR,KAMRAU,1497,27.232187,223.72699,46.0,49.0670985413886,28.76222926384285,1218.7802786016534,4,residential,0.42534205,32.082,70.255,1,At Risk
32.5542878477,75.9506,CHAMBA,DALHOUSIE,1606,20.887669,53.615643,28.0,33.093217386278006,48.72480610989496,744.7273736180393,2,forest,0.13966215,34.019,74.359,1,At Risk
30.850511324,76.9591,SOLAN,KASAULI,882,16.251488,199.44005,24.0,102.80185601936715,979.1676071371193,104.9420155441704,1,forest,0.4251497,32.197,70.464,1,At Risk
31.71492475,76.9357,MANDI,BALICHAUKI,885,16.251488,199.44005,23.0,8.00671074706923,518.4096395961799,250.84625833580148,22,residential,0.6728544,31.966,69.861,1,At Risk
31.5735045837,77.9677,KINNAUR,NICHAR,2043,32.5309,149.53444,54.0,167.0168494190495,1620.6927862746202,774.1348388159137,0,residential,0.34751037,27.205,59.479,1,At Risk
31.717956776,77.2407,KULLU,SAINJ,1073,18.415306,209.05461,27.0,62.23658859869777,1810.8957927642139,174.9627221648853,0,forest,0.26286152,21.894,47.828,1,At Risk
31.0078227706,77.0953,SOLAN,KANDAGHAT,1716,13.248056,15.945395,22.0,45.56204667328566,2473.3443096583555,1432.1697563718658,0,forest,0.4719859,32.197,70.464,1,At Risk
32.4501154768,75.9383,CHAMBA,BHATTIYAT,1143,14.1751375,230.19443,23.0,17.154592838933997,709.6317677061589,936.5006798149708,5,forest,0.4675582,34.019,74.359,1,At Risk
32.2134368537,76.3695,KANGRA,DHARMSHALA,1449,21.541641,214.99203,35.0,8.366905139054285,227.61927284243697,69.38782061330076,67,forest,0.3717694,34.019,74.359,1,At Risk
31.75553487,76.8601,MANDI,KOTLI,1185,22.403687,154.44002,29.0,3.794113071244873,1086.3737638158577,494.59807445859934,1,forest,0.27821782,31.966,69.861,1,At Risk
30.7298931512,77.1775,SIRMAUR,PACHHAD,1606,16.55587,135.0,24.0,42.626101033699626,1256.4227988427417,952.893025835538,1,forest,0.10144927,28.054,61.396,1,At Risk
31.5201264672,77.767,SHIMLA,RAMPUR,1349,29.111439,334.17902,37.0,60.250751927926395,1332.5174091178253,459.5552850267426,0,residential,0.38159204,23.856,52.159,1,At Risk
